,date,category,connections
30,2023-06-19,mattress sizes,"['full', 'king', 'queen', 'twin']"
31,2023-06-19,board games,"['backgammon', 'checkers', 'chess', 'go']"
32,2023-06-20,insects,"['ant', 'beetle', 'mantis', 'termite']"
33,2023-06-20,vegetables,"['beet', 'carrot', 'corn', 'onion']"
34,2023-06-20,tops,"['cami', 'halter', 'tank', 'tee']"
35,2023-06-20,sports,"['cricket', 'fencing', 'polo', 'squash']"
36,2023-06-21,zodiac symbols,"['fish', 'goat', 'scales', 'twins']"
37,2023-06-21,birds,"['crane', 'jay', 'swallow', 'turkey']"
38,2023-06-21,countries,"['chad', 'georgia', 'jordan', 'togo']"
39,2023-06-21,fruit,"['date', 'kiwi', 'lemon', 'orange']"
40,2023-06-22,spice girls,"['baby', 'ginger', 'posh', 'scary']"
41,2023-06-22,things with wings,"['airplane', 'angel', 'bird', 'pegasus']"
42,2023-06-22,terms of endearment,"['boo', 'honey', 'sugar', 'sweetie']"
43,2023-06-22,"spices beginning with ""c""","['cardamom', 'clove', 'coriander', 'cumin']"
44,2023-06-23,trig functions,"['cot', 'sec', 'sin', 'tan']"
45,2023-06-23,slow animals,"['loris', 'sloth', 'snail', 'tortoise']"
46,2023-06-23,deadly sins,"['envy', 'greed', 'lust', 'pride']"
47,2023-06-23,animal group names,"['flock', 'pack', 'pod', 'school']"
48,2023-06-24,homophones,"['gnu', 'knew', 'new', 'nu']"
49,2023-06-24,"silent ""g""","['gnat', 'gnaw', 'gnocchi', 'gnome']"
50,2023-06-24,greek letters,"['beta', 'chi', 'delta', 'iota']"
51,2023-06-24,airlines,"['frontier', 'spirit', 'united', 'virgin']"
52,2023-06-25,video game characters,"['crash', 'link', 'mario', 'sonic']"
53,2023-06-25,hondas,"['accord', 'civic', 'passport', 'pilot']"
54,2023-06-25,famous brothers,"['jonas', 'marx', 'warner', 'wright']"
55,2023-06-25,beds,"['bunk', 'canopy', 'murphy', 'trundle']"
56,2023-06-26,fictional pirates,"['hook', 'jones', 'silver', 'sparrow']"
57,2023-06-26,fishing gear,"['lure', 'reel', 'rod', 'tackle']"
58,2023-06-26,colors,"['brown', 'pink', 'turquoise', 'violet']"
59,2023-06-26,bird sounds,"['caw', 'chirp', 'cluck', 'tweet']"
60,2023-06-27,mr. ___,"['bean', 'clean', 'fox', 'peanut']"
61,2023-06-27,shades of green,"['emerald', 'forest', 'kelly', 'olive']"
62,2023-06-27,tree nuts,"['almond', 'cashew', 'pecan', 'walnut']"
63,2023-06-27,coffee drinks,"['americano', 'cappuccino', 'espresso', 'latte']"
64,2023-06-28,___ triangle,"['acute', 'bermuda', 'love', 'right']"
65,2023-06-28,detergents,"['all', 'era', 'gain', 'tide']"
66,2023-06-28,ship directions,"['bow', 'port', 'starboard', 'stern']"
67,2023-06-28,neckwear,"['ascot', 'bolo', 'scarf', 'tie']"
68,2023-06-29,nfl players,"['bear', 'bill', 'brown', 'commander']"
69,2023-06-29,title tv doctors,"['grey', 'house', 'howser', 'quinn']"
70,2023-06-29,awards,"['cup', 'medal', 'ribbon', 'trophy']"
71,2023-06-29,"muscles, informally","['lat', 'pec', 'quad', 'tri']"
72,2023-06-30,synonyms for argument,"['row', 'quarrel', 'spat', 'tiff']"
73,2023-06-30,kinds of meat,"['beef', 'pork', 'poultry', 'venison']"
74,2023-06-30,anti-vampire,"['crucifix', 'garlic', 'mirror', 'stake']"
75,2023-06-30,off-white shades,"['cream', 'eggshell', 'ivory', 'vanilla']"
76,2023-07-01,best director oscar winners,"['bong', 'ford', 'lee', 'stone']"
77,2023-07-01,universities,"['brown', 'duke', 'howard', 'rice']"
78,2023-07-01,royal titles,"['baron', 'earl', 'king', 'prince']"
79,2023-07-01,grains,"['barley', 'oat', 'rye', 'spelt']"
80,2023-07-02,lil ___ rappers,"['baby', 'jon', 'kim', 'wayne']"
81,2023-07-02,"""little women"" sisters","['amy', 'beth', 'jo', 'meg']"
82,2023-07-02,web browsers,"['chrome', 'edge', 'opera', 'safari']"
83,2023-07-02,music genres,"['jazz', 'pop', 'punk', 'rap']"
84,2023-07-03,sound ___,"['asleep', 'barrier', 'bite', 'wave']"
85,2023-07-03,traffic signs,"['detour', 'slow', 'stop', 'yield']"
86,2023-07-03,animal noses,"['beak', 'muzzle', 'snout', 'trunk']"
87,2023-07-03,dog breeds,"['boxer', 'dalmatian', 'husky', 'poodle']"
88,2023-07-04,things with links,"['chain', 'golf course', 'sausage', 'website']"
89,2023-07-04,magazines,"['fortune', 'rolling stone', 'vogue', 'wired']"
90,2023-07-04,dance fads,"['dougie', 'macarena', 'mashed potato', 'twist']"
91,2023-07-04,60's band members,"['beach boy', 'beatle', 'byrd', 'monkee']"
92,2023-07-05,band names minus numbers,"['blink', 'maroon', 'sum', 'u']"
93,2023-07-05,ear parts,"['anvil', 'cochlea', 'hammer', 'stirrup']"
94,2023-07-05,video game consoles,"['dreamcast', 'genesis', 'switch', 'wii']"
95,2023-07-05,candy bars,"['bounty', 'crunch', 'heath', 'milky way']"
96,2023-07-06,mustaches,"['handlebar', 'horseshoe', 'pencil', 'walrus']"
97,2023-07-06,animals with tusks,"['elephant', 'hippo', 'narwhal', 'warthog']"
98,2023-07-06,mild oaths,"['darn', 'fudge', 'heck', 'shoot']"
99,2023-07-06,desserts,"['cheesecake', 'flan', 'mousse', 'tiramisu']"
100,2023-07-07,words spelled with roman numerals,"['dill', 'livid', 'mild', 'mix']"
101,2023-07-07,toms,"['cruise', 'holland', 'petty', 'waits']"
102,2023-07-07,synonyms for imitate,"['copy', 'echo', 'mimic', 'parrot']"
103,2023-07-07,european countries,"['denmark', 'greece', 'poland', 'portugal']"
104,2023-07-08,jack ___,"['ass', 'knife', 'pot', 'rabbit']"
105,2023-07-08,parts of a book,"['cover', 'jacket', 'page', 'spine']"
106,2023-07-08,organs,"['heart', 'kidney', 'liver', 'lung']"
107,2023-07-08,hats,"['beret', 'bowler', 'fedora', 'fez']"
108,2023-07-09,tropical fruits,"['banana', 'coconut', 'mango', 'pineapple']"
109,2023-07-09,flightless birds,"['emu', 'kiwi', 'ostrich', 'penguin']"
110,2023-07-09,file extensions,"['gif', 'pdf', 'tiff', 'zip']"
111,2023-07-09,seven dwarfs,"['bashful', 'doc', 'grumpy', 'happy']"
112,2023-07-10,___ cat,"['alley', 'cool', 'copy', 'lap']"
113,2023-07-10,fish,"['tang', 'tetra', 'skate', 'sole']"
114,2023-07-10,arithmetic operations,"['add', 'divide', 'multiply', 'subtract']"
115,2023-07-10,winged insects,"['fly', 'gnat', 'moth', 'wasp']"
116,2023-07-11,"movies with ""!""","['airplane', 'mother', 'oklahoma', 'them']"
117,2023-07-11,joints,"['hip', 'knee', 'shoulder', 'wrist']"
118,2023-07-11,pasta shapes,"['bowtie', 'elbow', 'shell', 'spiral']"
119,2023-07-11,nfl players,"['bronco', 'cowboy', 'packer', 'raven']"
120,2023-07-12,words with two pronunciations,"['job', 'lima', 'mobile', 'polish']"
121,2023-07-12,"words with ""i""","['mac', 'pad', 'phone', 'pod']"
122,2023-07-12,3-d shapes,"['cone', 'cube', 'pyramid', 'sphere']"
123,2023-07-12,vegetables that are also fruits,"['cucumber', 'eggplant', 'pepper', 'tomato']"
124,2023-07-13,rubber ___,"['band', 'cement', 'duckie', 'soul']"
125,2023-07-13,fictional spies,"['bond', 'hunt', 'ryan', 'smart']"
126,2023-07-13,board games,"['clue', 'risk', 'sorry', 'trouble']"
127,2023-07-13,shoe parts,"['heel', 'lace', 'sole', 'tongue']"
128,2023-07-14,nicknames that are verbs,"['chuck', 'josh', 'rob', 'sue']"
129,2023-07-14,cuts of beef,"['flank', 'loin', 'round', 'shank']"
130,2023-07-14,sandwiches,"['club', 'cuban', 'melt', 'sub']"
131,2023-07-14,boats,"['ferry', 'junk', 'tug', 'yacht']"
132,2023-07-15,male animals,"['boar', 'buck', 'bull', 'jack']"
133,2023-07-15,rock paper scissors,"['paper', 'rock', 'scissors', 'shoot']"
134,2023-07-15,music genres,"['blues', 'country', 'funk', 'soul']"
135,2023-07-15,pleasant smells,"['aroma', 'bouquet', 'fragrance', 'scent']"
136,2023-07-16,___ and ___,"['again', 'half', 'neck', 'so']"
137,2023-07-16,lucky charms marshmallows,"['clover', 'horseshoe', 'moon', 'rainbow']"
138,2023-07-16,metal elements,"['iron', 'lead', 'tin', 'zinc']"
139,2023-07-16,u.s. coins,"['dime', 'nickel', 'penny', 'quarter']"
140,2023-07-17,naked ___,"['eye', 'gun', 'mole rat', 'truth']"
141,2023-07-17,slang for money,"['cheddar', 'dough', 'paper', 'stacks']"
142,2023-07-17,chocolate bars,"['chunky', 'crunch', 'mars', 'mounds']"
143,2023-07-17,marsupials,"['kangaroo', 'koala', 'wallaby', 'wombat']"
144,2023-07-18,"countries when ""a"" is added","['chin', 'cub', 'malt', 'tong']"
145,2023-07-18,synonyms for sell,"['hawk', 'move', 'peddle', 'vend']"
146,2023-07-18,bike parts,"['brake', 'chain', 'saddle', 'spoke']"
147,2023-07-18,marine mammals,"['dolphin', 'manatee', 'otter', 'seal']"
148,2023-07-19,streets on screen,"['elm', 'fear', 'jump', 'sesame']"
149,2023-07-19,bagel flavors,"['everything', 'onion', 'plain', 'poppy']"
150,2023-07-19,land formations,"['hill', 'mountain', 'plateau', 'valley']"
151,2023-07-19,trees,"['ash', 'cedar', 'maple', 'pine']"
152,2023-07-20,dr. ___,"['evil', 'j', 'no', 'pepper']"
153,2023-07-20,units of measure,"['hertz', 'mole', 'newton', 'second']"
154,2023-07-20,hairstyles,"['bob', 'crop', 'pixie', 'shag']"
155,2023-07-20,timekeeping devices,"['clock', 'hourglass', 'sundial', 'watch']"
156,2023-07-21,seals,"['harbor', 'harp', 'hooded', 'monk']"
157,2023-07-21,sunglasses,"['aviator', 'cat eye', 'wayfarer', 'wraparound']"
158,2023-07-21,coverings,"['cap', 'cover', 'lid', 'top']"
159,2023-07-21,woodwinds,"['bassoon', 'clarinet', 'flute', 'oboe']"
160,2023-07-22,cereal mascots,"['lucky', 'pop', 'sam', 'tony']"
161,2023-07-22,island countries,"['cuba', 'japan', 'malta', 'palau']"
162,2023-07-22,slang for coffee,"['brew', 'java', 'joe', 'mud']"
163,2023-07-22,bottled water brands,"['dasani', 'evian', 'fiji', 'voss']"
164,2023-07-23,___ cat,"['doja', 'fat', 'house', 'jungle']"
165,2023-07-23,run quickly,"['bolt', 'dash', 'race', 'sprint']"
166,2023-07-23,punctuation marks,"['colon', 'comma', 'hyphen', 'period']"
167,2023-07-23,scuba gear,"['fins', 'mask', 'snorkel', 'tank']"
168,2023-07-24,___ boys,"['beach', 'beastie', 'hardy', 'lost']"
169,2023-07-24,marine birds,"['booby', 'gull', 'pelican', 'puffin']"
170,2023-07-24,things that are yellow,"['banana', 'canary', 'school bus', 'sunflower']"
171,2023-07-24,synonyms for angry,"['furious', 'incensed', 'irate', 'livid']"
172,2023-07-25,anagrams,"['least', 'slate', 'stale', 'tesla']"
173,2023-07-25,defeat badly,"['crush', 'rout', 'shellac', 'trash']"
174,2023-07-25,edit menu commands,"['copy', 'cut', 'paste', 'undo']"
175,2023-07-25,states of matter,"['gas', 'liquid', 'plasma', 'solid']"
176,2023-07-26,band names minus colors,"['day', 'floyd', 'sabbath', 'stripes']"
177,2023-07-26,fast food chains,"['checkers', 'outback', 'sonic', 'subway']"
178,2023-07-26,nba players,"['king', 'magic', 'sun', 'thunder']"
179,2023-07-26,modes of transportation,"['boat', 'car', 'plane', 'train']"
180,2023-07-27,cocktails,"['cosmopolitan', 'hurricane', 'manhattan', 'screwdriver']"
181,2023-07-27,storms,"['blizzard', 'cyclone', 'squall', 'tornado']"
182,2023-07-27,fashion magazines,"['allure', 'elle', 'glamour', 'w']"
183,2023-07-27,movie title cities,"['chicago', 'munich', 'philadelphia', 'rio']"
184,2023-07-28,dances when doubled,"['can', 'cha', 'go', 'nae']"
185,2023-07-28,yoga poses,"['cobra', 'lotus', 'tree', 'warrior']"
186,2023-07-28,lizards,"['chameleon', 'gecko', 'iguana', 'monitor']"
187,2023-07-28,biomes,"['desert', 'forest', 'grassland', 'tundra']"
188,2023-07-29,disney characters,"['beast', 'genie', 'scar', 'stitch']"
189,2023-07-29,synonyms for bother,"['needle', 'poke', 'rib', 'tease']"
190,2023-07-29,apparitions,"['ghost', 'phantom', 'specter', 'spirit']"
191,2023-07-29,fabrics,"['corduroy', 'denim', 'linen', 'tweed']"
192,2023-07-30,___ clock,"['alarm', 'biological', 'cuckoo', 'grandfather']"
193,2023-07-30,disney ducks,"['daisy', 'dewey', 'donald', 'scrooge']"
194,2023-07-30,synonyms for offbeat,"['daffy', 'kooky', 'quirky', 'wacky']"
195,2023-07-30,relatives,"['aunt', 'cousin', 'mother', 'nephew']"
196,2023-07-31,starts of u.s. coins,"['dim', 'nick', 'pen', 'quart']"
197,2023-07-31,deep-fried food,"['falafel', 'katsu', 'samosa', 'schnitzel']"
198,2023-07-31,types of paint,"['acrylic', 'oil', 'tempera', 'watercolor']"
199,2023-07-31,units of length,"['foot', 'inch', 'mile', 'yard']"
200,2023-08-01,adams,"['ant', 'driver', 'scott', 'west']"
201,2023-08-01,vampire movies,"['blade', 'lost boys', 'near dark', 'twilight']"
202,2023-08-01,dating apps,"['bumble', 'hinge', 'match', 'tinder']"
203,2023-08-01,long sandwiches,"['hero', 'hoagie', 'grinder', 'sub']"
204,2023-08-02,synonyms for complain,"['carp', 'gripe', 'grouse', 'moan']"
205,2023-08-02,musical instruments,"['harp', 'horn', 'organ', 'triangle']"
206,2023-08-02,rodents,"['gerbil', 'hamster', 'rat', 'vole']"
207,2023-08-02,computer equipment,"['keyboard', 'monitor', 'mouse', 'speaker']"
208,2023-08-03,taxonomy ranks,"['class', 'domain', 'family', 'order']"
209,2023-08-03,ap classes,"['bio', 'chem', 'gov', 'stats']"
210,2023-08-03,stoned,"['baked', 'blazed', 'high', 'lit']"
211,2023-08-03,animal group names,"['colony', 'herd', 'pride', 'swarm']"
212,2023-08-04,___ road,"['abbey', 'high', 'rocky', 'silk']"
213,2023-08-04,presidential first names,"['calvin', 'chester', 'grover', 'harry']"
214,2023-08-04,cartoon cats,"['felix', 'garfield', 'sylvester', 'tom']"
215,2023-08-04,places for worship,"['altar', 'reliquary', 'shrine', 'temple']"
216,2023-08-05,___ stick,"['fish', 'hockey', 'memory', 'selfie']"
217,2023-08-05,shakespeare characters,"['duncan', 'juliet', 'puck', 'viola']"
218,2023-08-05,words with three g's,"['baggage', 'eggnog', 'giggle', 'leggings']"
219,2023-08-05,classic toys,"['blocks', 'doll', 'top', 'yo-yo']"
220,2023-08-06,rappers minus numbers,"['cent', 'chainz', 'pac', 'savage']"
221,2023-08-06,touchscreen gestures,"['pinch', 'spread', 'swipe', 'tap']"
222,2023-08-06,dances,"['hustle', 'salsa', 'swing', 'tango']"
223,2023-08-06,classic arcade games,"['asteroids', 'breakout', 'frogger', 'pong']"
224,2023-08-07,candy pieces,"['dot', 'goober', 'kiss', 'whopper']"
225,2023-08-07,synonyms for falsehood,"['fib', 'fiction', 'lie', 'tale']"
226,2023-08-07,patterns,"['houndstooth', 'paisley', 'plaid', 'stripes']"
227,2023-08-07,movie genres,"['horror', 'musical', 'romance', 'western']"
228,2023-08-08,mtv shows,"['catfish', 'cribs', 'jackass', 'state']"
229,2023-08-08,superheroes,"['black widow', 'blade', 'flash', 'storm']"
230,2023-08-08,fish,"['char', 'eel', 'perch', 'shark']"
231,2023-08-08,arachnids,"['mite', 'scorpion', 'spider', 'tick']"
232,2023-08-09,fruit homophones,"['lyme', 'mellon', 'pair', 'plumb']"
233,2023-08-09,celestial objects,"['asteroid', 'comet', 'moon', 'planet']"
234,2023-08-09,newspapers,"['globe', 'journal', 'post', 'sun']"
235,2023-08-09,unspecified quantities,"['few', 'handful', 'several', 'some']"
236,2023-08-10,jewelry,"['anklet', 'bangle', 'brooch', 'pendant']"
237,2023-08-10,make happy,"['charm', 'delight', 'please', 'tickle']"
238,2023-08-10,sports venues,"['court', 'diamond', 'field', 'rink']"
239,2023-08-10,horror franchises,"['purge', 'ring', 'saw', 'scream']"
240,2023-08-11,___ point,"['match', 'moot', 'selling', 'west']"
241,2023-08-11,australian terms,"['barbie', 'bush', 'crikey', 'mate']"
242,2023-08-11,talent,"['faculty', 'flair', 'genius', 'gift']"
243,2023-08-11,theoretical physicists,"['einstein', 'feynman', 'hawking', 'oppenheimer']"
244,2023-08-12,periodic table symbols,"['fe', 'he', 'na', 'ni']"
245,2023-08-12,greek letters,"['mu', 'nu', 'pi', 'xi']"
246,2023-08-12,musical notes,"['do', 'fa', 'la', 'ti']"
247,2023-08-12,state abbreviations,"['co', 'ma', 'me', 'pa']"
248,2023-08-13,"""captains""","['crunch', 'kangaroo', 'obvious', 'planet']"
249,2023-08-13,gym exercises,"['curl', 'lunge', 'plank', 'press']"
250,2023-08-13,slang for zero,"['jack', 'nada', 'nothing', 'squat']"
251,2023-08-13,fastening verbs,"['buckle', 'button', 'snap', 'zip']"
252,2023-08-14,t-___,"['bone', 'rex', 'shirt', 'storm']"
253,2023-08-14,fishing terms,"['bait', 'chum', 'fly', 'sinker']"
254,2023-08-14,perceive,"['catch', 'notice', 'observe', 'see']"
255,2023-08-14,classic dog names,"['fido', 'lucky', 'rover', 'spot']"
256,2023-08-15,things with rings,"['circus', 'saturn', 'tree', 'wedding']"
257,2023-08-15,classical elements,"['air', 'earth', 'fire', 'water']"
258,2023-08-15,energy,"['juice', 'spirit', 'steam', 'vigor']"
259,2023-08-15,states of matter,"['gas', 'liquid', 'plasma', 'solid']"
260,2023-08-16,one in a dozen,"['egg', 'juror', 'month', 'rose']"
261,2023-08-16,painters,"['bacon', 'close', 'munch', 'whistler']"
262,2023-08-16,breakfast foods,"['cereal', 'omelet', 'pancake', 'waffle']"
263,2023-08-16,time periods,"['century', 'decade', 'millennium', 'year']"
264,2023-08-17,square ___,"['dance', 'meal', 'one', 'root']"
265,2023-08-17,alter deceptively,"['distort', 'doctor', 'fudge', 'twist']"
266,2023-08-17,occupational surnames,"['fisher', 'mason', 'miller', 'smith']"
267,2023-08-17,desserts,"['cake', 'cobbler', 'pie', 'tart']"
268,2023-08-18,___ cake,"['carrot', 'coffee', 'pound', 'sponge']"
269,2023-08-18,world currencies,"['rand', 'real', 'sterling', 'won']"
270,2023-08-18,extremely,"['awful', 'quite', 'super', 'very']"
271,2023-08-18,units of volume,"['cup', 'gallon', 'pint', 'quart']"
272,2023-08-19,slang for cannabis,"['grass', 'herb', 'mary jane', 'weed']"
273,2023-08-19,shoes,"['clog', 'pump', 'slide', 'wedge']"
274,2023-08-19,cookwear,"['crock', 'pot', 'skillet', 'wok']"
275,2023-08-19,friend,"['bud', 'chum', 'mate', 'pal']"
276,2023-08-20,happy ___,"['camper', 'hour', 'meal', 'medium']"
277,2023-08-20,tiny,"['minute', 'slight', 'small', 'wee']"
278,2023-08-20,insult,"['barb', 'dig', 'diss', 'jab']"
279,2023-08-20,camping supplies,"['cooler', 'lantern', 'sleeping bag', 'tent']"
280,2023-08-21,tony ___,"['hawk', 'montana', 'soprano', 'stark']"
281,2023-08-21,classic rock bands,"['genesis', 'kansas', 'rush', 'yes']"
282,2023-08-21,soda brands,"['crush', 'mug', 'sprite', 'squirt']"
283,2023-08-21,u.s. mountain states,"['arizona', 'colorado', 'nevada', 'utah']"
284,2023-08-22,"""bad ___"" movies""","['boys', 'lieutenant', 'santa', 'taste']"
285,2023-08-22,seen on valentine's day,"['card', 'chocolate', 'heart', 'rose']"
286,2023-08-22,santa's reindeer,"['comet', 'cupid', 'dasher', 'vixen']"
287,2023-08-22,performing artists,"['actor', 'dancer', 'singer', 'stand-up']"
288,2023-08-23,things that are cast,"['doubt', 'movie', 'shadow', 'vote']"
289,2023-08-23,pursue,"['dog', 'follow', 'tail', 'track']"
290,2023-08-23,bike parts,"['gear', 'handlebar', 'pedal', 'wheel']"
291,2023-08-23,facial hair,"['beard', 'goatee', 'mustache', 'stubble']"
292,2023-08-24,kiss,"['peck', 'smack', 'smooch', 'x']"
293,2023-08-24,slang for clothes,"['duds', 'getup', 'outfit', 'threads']"
294,2023-08-24,failures,"['busts', 'flops', 'misses', 'turkeys']"
295,2023-08-24,extinct animals,"['dodo', 'mammoth', 'mastodon', 'trilobite']"
296,2023-08-25,easter ___,"['bunny', 'egg', 'island', 'sunday']"
297,2023-08-25,found in a kitchen,"['counter', 'mixer', 'range', 'sink']"
298,2023-08-25,"""pinocchio"" figures","['cricket', 'puppet', 'whale', 'woodcarver']"
299,2023-08-25,social gathering,"['bash', 'blowout', 'party', 'shindig']"
300,2023-08-26,adjectives in rappers' names,"['foxy', 'gucci', 'killer', 'notorious']"
301,2023-08-26,figures in greek myth,"['atlas', 'hermes', 'nike', 'paris']"
302,2023-08-26,newspaper sections,"['business', 'national', 'opinion', 'style']"
303,2023-08-26,board games,"['risk', 'sorry', 'taboo', 'trouble']"
304,2023-08-27,"associated with ""crawl""","['infant', 'pub', 'swimming', 'ticker']"
305,2023-08-27,drum set components,"['cymbal', 'kick', 'snare', 'tom']"
306,2023-08-27,golf terms,"['driver', 'eagle', 'hole', 'stroke']"
307,2023-08-27,poultry cuts,"['breast', 'drumstick', 'tender', 'wing']"
308,2023-08-28,___ list,"['bucket', 'guest', 'top ten', 'wish']"
309,2023-08-28,greeting gestures,"['high five', 'hug', 'shake', 'wave']"
310,2023-08-28,scam,"['con', 'fast one', 'hustle', 'racket']"
311,2023-08-28,states of elation,"['bliss', 'cloud nine', 'heaven', 'paradise']"
312,2023-08-29,words before days of the week,"['ash', 'black', 'cyber', 'fat']"
313,2023-08-29,shades of black,"['ebony', 'jet', 'onyx', 'raven']"
314,2023-08-29,animals that end with x,"['fox', 'ibex', 'lynx', 'oryx']"
315,2023-08-29,depart quickly,"['book', 'bounce', 'run', 'split']"
316,2023-08-30,fonts,"['courier', 'impact', 'papyrus', 'times']"
317,2023-08-30,egyptian symbols,"['ankh', 'crook', 'eye', 'scarab']"
318,2023-08-30,influence,"['clout', 'pull', 'sway', 'weight']"
319,2023-08-30,playground fixtures,"['sandbox', 'seesaw', 'slide', 'swing']"
320,2023-08-31,___jack,"['apple', 'cracker', 'flap', 'lumber']"
321,2023-08-31,mar,"['chip', 'ding', 'nick', 'scratch']"
322,2023-08-31,response to a correct answer,"['bingo', 'correct', 'right', 'yes']"
323,2023-08-31,appetizer unit,"['fry', 'nacho', 'popper', 'wing']"
324,2023-09-01,consecutive double letters,"['balloon', 'bassoon', 'coffee', 'fricassee']"
325,2023-09-01,american poets,"['bishop', 'frost', 'olds', 'pound']"
326,2023-09-01,woodwinds,"['clarinet', 'flute', 'oboe', 'saxophone']"
327,2023-09-01,drink vessels,"['goblet', 'snifter', 'tumbler', 'stein']"
328,2023-09-02,manicure steps,"['buff', 'clip', 'file', 'polish']"
329,2023-09-02,american football actions,"['fumble', 'punt', 'sack', 'snap']"
330,2023-09-02,baked goods,"['bun', 'danish', 'muffin', 'turnover']"
331,2023-09-02,au naturel,"['bare', 'naked', 'nude', 'unclad']"
332,2023-09-03,homophones,"['ewe', 'u', 'yew', 'you']"
333,2023-09-03,roman numerals,"['d', 'l', 'm', 'v']"
334,2023-09-03,pronouns,"['i', 'it', 'they', 'we']"
335,2023-09-03,female animals,"['cow', 'doe', 'hen', 'mare']"
336,2023-09-04,___ chair,"['first', 'folding', 'high', 'lawn']"
337,2023-09-04,things with teeth,"['comb', 'gear', 'saw', 'zipper']"
338,2023-09-04,automatic transmission settings,"['drive', 'neutral', 'park', 'reverse']"
339,2023-09-04,painting accessories,"['brush', 'canvas', 'easel', 'palette']"
340,2023-09-05,song titles with parentheses,"['i ran', 'istanbul', 'montero', 'satisfaction']"
341,2023-09-05,thanksgiving food,"['gravy', 'pie', 'stuffing', 'turkey']"
342,2023-09-05,additional benefit,"['bonus', 'extra', 'icing', 'perk']"
343,2023-09-05,information displays,"['chart', 'diagram', 'graph', 'map']"
344,2023-09-06,chinese zodiac animals,"['dragon', 'horse', 'rabbit', 'tiger']"
345,2023-09-06,one involved in espionage,"['agent', 'mole', 'plant', 'spy']"
346,2023-09-06,flower parts,"['bud', 'leaf', 'petal', 'stalk']"
347,2023-09-06,creatures in folklore,"['gnome', 'goblin', 'ogre', 'troll']"
348,2023-09-07,mad max fury road,"['fury', 'mad', 'max', 'road']"
349,2023-09-07,when harry met sally,"['harry', 'met', 'sally', 'when']"
350,2023-09-07,who framed roger rabbit,"['framed', 'rabbit', 'roger', 'who']"
351,2023-09-07,rocky horror picture show,"['horror', 'picture', 'rocky', 'show']"
352,2023-09-08,___ tape,"['demo', 'red', 'scotch', 'ticker']"
353,2023-09-08,pixar movies,"['brave', 'cars', 'coco', 'up']"
354,2023-09-08,fermeneted alcoholic beverages,"['cider', 'port', 'sake', 'stout']"
355,2023-09-08,inherent nature,"['essence', 'heart', 'spirit', 'soul']"
356,2023-09-09,silent “l”,"['colonel', 'salmon', 'walk', 'yolk']"
357,2023-09-09,fish that are verbs,"['carp', 'catfish', 'flounder', 'smelt']"
358,2023-09-09,heat sources,"['forge', 'furnace', 'kiln', 'oven']"
359,2023-09-09,baseball calls,"['ball', 'out', 'safe', 'strike']"
360,2023-09-10,sea ___,"['change', 'cucumber', 'legs', 'lion']"
361,2023-09-10,musicals,"['company', 'grease', 'hair', 'rent']"
362,2023-09-10,lowest point,"['base', 'bottom', 'foot', 'foundation']"
